Назвнаие модели;Цена;Место продажи
"• 6,8"" дюйм • 2021 11 gen Новая! эл.книга Amazon Kindle PaperWhite 8Gb";"
4 699 грн.
";Львов, Галицкий
Amazon Kindle 8 generation. 2017-2018 года. Сенсорный. Черный.Гарантия;"
999 грн.
";Киев, Оболонский
Электронная книга Tolino Vision 3 HD на запчасти, или под ремонт;"
450 грн.
";Черновцы
Электронные книги/читалки;"
1 900 грн.
";Ровно
Электронная книга РИДЕР Prestigio eBook Reader PER3172B;"
400 грн.
";Киев, Подольский
Электронная книга РИДЕР Prestigio eBook Reader PER3562B;"
600 грн.
";Киев, Подольский
Электронная книжка на запчасти;"
100 грн.
";Киев, Деснянский
Amazon Kindle Paper White, супер состояние + USB кабель в подарок;"
1 500 грн.
";Одесса, Суворовский
Продам електронну книжку;"
2 950 грн.
";Ивано-Франковск
Электронная книга;"
700 грн.
";Харьков, Московский
Электронная книга Samsung s8;"
560 грн.
";Днепр, Индустриальный
З найдешевших! Amazon Kindle Paperwhite 11, 2021 нова, online;"
4 650 грн.
";Черновцы
Продам или обменяю электронный учебник;"
2 100 грн.
";Одесса, Киевский
Сенсорную электронную книгу SONY PRS-350 в отличном состоянии.;"
700 грн.
";Киев, Деснянский
"Планшет -ел.книга Amazon Kindle 7"".";"
700 грн.
";Заставна
Електронна книга амазонка;"
1 500 грн.
";Колодеже
Электронная книга Barnes&noble (nook) BNRZ100;"
229 грн.
";Житомир, Богунский
Pocketbook Pocket book 912, 903;"
2 400 грн.
";Дубляны
"НОВА Е-підручник Е-учебник Evromedia Classic Pro 9,7"" НОВА";"
2 800 грн.
";Дубляны
электронная книга Wexler T5001 (есть бесплатная оlх-доставка);"
500 грн.
";Кривой Рог, Долгинцевский
NEW FRANKLIN Collins DMQ-221электронный Экспресс словарь(Английский);"
400 грн.
";Шепетовка
Prestigio per3274bru Wexler T7008 HLY070ML257-12A;"
200 грн.
";Новомосковск
електронна книга Prology в відмінному стані на 8 дюймів;"
800 грн.
";Александрия
Читалка ридер Android-ридер PocketBook IQ 701;"
650 грн.
";Кропивницкий, Фортечный
Электронная книга ECTACO jetBook LITE, США;"
450 грн.
";Харьков, Московский
Электронная книга pocket book 701;"
400 грн.
";Днепр, Центральный
Записная электронная книжка;"
50 грн.
";Крыжановка
Электронная записная книжка;"
150 грн.
";Письменное
Электронная книга Ergo book 0502R white+чехол+sd-card! (не Pocketbook);"
1 200 грн.
";Синельниково
Kindle 4 model no. d01100;"
900 грн.
";Киев, Святошинский
Электронная книга Amazon Kindle All-new 10th Gen. 2019 8Gb. Kindle;"
2 500 грн.
";Львов, Железнодорожный
Электронная книга Kindle Paperwhite;"
1 300 грн.
";Киев, Дарницкий
Продаю Amazon Kindle Touch;"
750 грн.
";Киев, Шевченковский
Продам одноразовую електроную книгу;"
195 грн.
";Киев, Шевченковский
Продам електронную книгу ,kindle;"
600 грн.
";Одесса, Киевский
электронный переводчик;"
350 грн.
";Измаил
Amazon Kindle 5 все працює;"
850 грн.
";Львов, Франковский
Продам электронную книгу Kindle Amazon;"
1 800 грн.
";Одесса, Киевский
Продаю англо/русский, русско/англ. говорящий словарь/перевод. 1400000;"
4 408 грн.
";Донецк, Калининский
Записная книжка-банк данных Casio DC-7500RS;"
1 469 грн.
";Киев, Шевченковский
PocketBook ( 1 E-READER );"
600 грн.
";Днепр, Центральный
Pocketbook surfpad u7  планшет;"
600 грн.
";Киев, Деснянский
Amazon Kindle 10th Gen Электронная книга Гарантия 1 год;"
2 540 грн.
";Киев, Голосеевский
Смарт-блокнот с отпечатком Lockbook, беспроводная зарядка и USB 16GB;"
3 100 грн.
";Одесса, Киевский
"Amazon Kindle Paperwhite Kids 11th Gen 6.8"" 2022 с обложкой, ONLINE";"
5 450 грн.
";Днепр, Чечеловский
Самый новый Amazon Kindle Oasis 10Gen 32GB Graphite;"
5 599 грн.
";Киев, Шевченковский
электронная книга Ritmix RBK-330 (на запчасти или под восстановление);"
125 грн.
";Знаменка
Електронна книга Amazon Kindle 3 Wi-Fi d00901 + чехол;"
600 грн.
";Луцк
Электронная книга;"
50 грн.
";Днепр, Соборный
Электронная записная книжка CITIZEN;"
95 грн.
";Днепр, Центральный
Електронная книга, мобильний телефон;"
550 грн.
";Ивано-Франковск
Мини планшет электронная записная книжка Casio многофункциональная.;"
335 грн.
";Киев, Шевченковский
Электронная книга Amazon;"
1 500 грн.
";Краматорск
Электронная книга;"
3 200 грн.
";Днепр, Центральный
Электронная записная книжка;"
190 грн.
";Славянск
Электронная книга prestigio nobile;"
700 грн.
";Вишневое
Анатомия и физиология. Тортора. Электронная книга;"
50 грн.
";Хмельницкий
Электронный ридер Amazon Kindle Touch;"
700 грн.
";Киев, Шевченковский
Эликтроная книга SONY;"
1 000 грн.
";Одесса, Суворовский
Электронная читалка PocketBook IQ 701;"
800 грн.
";Кривой Рог, Метталургический
Электронная книга Sony;"
1 000 грн.
";Волчанск
электронная книга РocketBook 624 на запчасти;"
200 грн.
";Днепр, Шевченковский
электронная книга kindle amazon d01100 на запчасти;"
200 грн.
";Днепр, Шевченковский
Електронна книга AIRBOOK Pro 6S;"
5 199 грн.
";Киев, Печерский
Продам електронную книгу.;"
100 грн.
";Харьков, Московский
Електронна книжка Kindle 4 WiFi (без підсвітки);"
850 грн.
";Киев, Соломенский
Електронна книга ONYX BOOX Nova Air/ ONYX BOOX Note Air 2 ~Нові~;"
11 400 грн.
";Львов, Франковский
Електронна книга PocketBook 632 Touch HD 3;"
5 395 грн.
";Львов, Сиховский
Электронная книга читалка Kindle D00901;"
500 грн.
";Харьков, Немышлянский
электронная книга Nook Simple Touch BNRV300;"
800 грн.
";Стрый
Amazon kindle 4.;"
900 грн.
";Куриловка
Книга электронная Amazon Kindle D00901;"
800 грн.
";Сумы
Assistant AT-1094 - 29-язычный переводчик и органайзер.;"
190 грн.
";Киев, Святошинский
Электронная книга на запчасти или под восстановление;"
115 грн.
";Знаменка
Электронная книга E-book reader;"
1 300 грн.
";Черкассы
E-book полноцвет Retina Hd Электронная книга Wi-Fi +учебники;"
700 грн.
";Киев, Голосеевский
Электронная книжка Nook Color;"
300 грн.
";Киев, Подольский
Электронная книга pocketbook basic 3;"
1 200 грн.
";Знаменка
Amazon Kindle Voyage с подсветкой электронная книга не paperwhite;"
2 398 грн.
";Полтава
Электронная книга amazon kindle D01100;"
200 грн.
";Киев, Деснянский
Записная книга Citizen ED-3000RX;"
50 грн.
";Хмельницкий
"Е-підручник Classic Pro E-ink Pearl 9.7""";"
4 000 грн.
";Киев, Голосеевский
Электронную книгу AmazonKindle с разбитым экраном недорого.;"
200 грн.
";Киев, Деснянский
электронная книга Amazon Kindle Paperwhite 6 gen;"
1 200 грн.
";Стрый
Amazon Kindle Oasis 9th, 10th ген. 7 дюймів 8, 32 ГБ!;"
4 400 грн.
";Луцк
Amazon Kindle Paperwhite Kids 11th 2021 8Gb Нова Запакована;"
5 250 грн.
";Тернополь
Amazon Kindle Paperwhite. Подсветка.Гарантия. От магазина. Из США;"
999 грн.
";Львов, Галицкий
Нова електронна книга Amazon Kindle Paperwhite 5 2021 11 gen, ONLINE;"
4 399 грн.
";Киев, Днепровский
Продам электронную книгу Pocketbook 631 Touch HD;"
2 600 грн.
";Харьков, Слободской
Электронная книга Sony PSR-300. Все форматы. Русский. 5 дюймов.Магазин;"
399 грн.
";Киев, Оболонский
AirBook Pro 8 з підсвіткою;"
3 990 грн.
";Луцк
10.7!! дюймів книга Plastic Logic 100 СЕНСОРНА, екран НЕ Б'ЄТЬСЯ!;"
4 100 грн.
";Тернополь
Продам записную электрокнижку;"
50 грн.
";Харьков, Киевский
Голон Анна и Серж - Анжелика и Демон;"
50 грн.
";Вышгород
Электронная книга с кожаным чехлом amazon kindle;"
1 650 грн.
";Южноукраинск
Плату от электронной книги Amazon Kindle D00611 в рабочем состоянии.;"
600 грн.
";Киев, Деснянский
Amazon Kindle 10 8Gb White (Basic) с подсветкой, новые;"
3 200 грн.
";Луганск, Артёмовский
Sony Reader PRS-300;"
400 грн.
";Ильичевка
Продам электронную книгу PocketBook Pro 602;"
1 700 грн.
";Харьков, Немышлянский
Електронна книга Evromedia Е-учебник Classic Pro;"
2 000 грн.
";Днепр, Центральный
Amazon Kindle Oasis 9Gen 32Gb Gold used *3429;"
5 289 грн.
";Скнилов
Органайзер    CITIZEN;"
350 грн.
";Донецк, Будённовский
"Amazon Kindle Fire HD 10"" 1/32Gb (ремонт)";"
900 грн.
";Киев, Деснянский
Электронная книга ECTACO jetBook mini;"
750 грн.
";Днепр, Соборный
Электронная книга Air Book City Base;"
1 000 грн.
";Одесса, Суворовский
Продам электронный справочник, книга, переводчик;"
150 грн.
";Кривой Рог, Саксаганский
Електронна книга;"
1 200 грн.
";Луцк
Электронная книга С подсветкой сенсорная Wi-Fi HD экран;"
1 600 грн.
";Киев, Деснянский
Электронная книга PocketBook 626 Touch Lux 3 Подсветка Сенсор Wi-Fi;"
2 550 грн.
";Киев, Днепровский
Электронная книга Kindle 7 поколение с сенсорным экраном;"
1 050 грн.
";Киев, Деснянский
Электронная книга;"
1 100 грн.
";Николаев Жовтневый
Электронная книга;"
1 100 грн.
";Николаев Жовтневый
Электронная книга PocketBook 622;"
1 500 грн.
";Днепр, Индустриальный
"Дж.Бокаччо ""Декамерон"" книга";"
50 грн.
";Полтава
Kindle EY- 21 wi-fi;"
999 грн.
";Херсон
Amazon Kindle 2 электронная книга D00501 розборка-материнська плата;"
200 грн.
";Умань
СРОЧНО asus memo pad 7;"
349 грн.
";Красная Слобода
Электронная книга Sony PRS-T1;"
987.65 грн.
";Днепр, Центральный
Електронна книга (Планшет) PocketBook A7 (Бита);"
199 грн.
";Львов, Лычаковский
Электронная книга Kobo Сlara HD 6” PRO Black;"
2 800 грн.
";Киев, Деснянский
электронная книга Amazon Kindle 3/fb2;"
700 грн.
";Стрый
электронная книга Amazon Kindle 4/fb2;"
750 грн.
";Стрый
Продам электронную книгу;"
2 000 грн.
";Днепр, Амур-Нижнеднепровский
Электронная книга Kruger&Matz;"
1 000 грн.
";Харьков, Основянский
Электронная книга Amazon Kindle All-New 10 Gen.2019 новая подсветка;"
2 750 грн.
";Луцк
Pocketbook 301 plus под замену экрана и фирменый чехол;"
Обмен
";Киев, Днепровский
Электронная книга Amazon Kindle Paperwhite 2 DP75SDI на запчасти;"
300 грн.
";Киев, Дарницкий
Сенсорная электронная книга Sony со стилусом;"
1 800 грн.
";Одесса, Киевский
Amazon Kindle Paperwhite 8GB новая 10Gen Электронная книга онлайн.;"
3 200 грн.
";Черновцы
Kindle Paperwhite 2017. 7 поколение. Черный. Гарантия. Магазин. Из США;"
1 299 грн.
";Киев, Оболонский
Электронная книга Amazon Kindle Paperwhite Kids (11 gen,2год гарантия);"
5 400 грн.
";Одесса, Малиновский
Электронная книга Amazon Kindle Paperwhite 11th 2021. Лучше PocketBook;"
4 900 грн.
";Днепр, Соборный
Электронная книга Amazon Kindle Paperwhite 10th Generation 8GB;"
3 640 грн.
";Киев, Голосеевский
Pocketbook 741, InkPad 3, Pro;"
4 650 грн.
";Новояворовск
Електронна книга ONYX BOOX Note Air • Нова • Запакована • Гарантія;"
13 958 грн.
";Львов, Франковский
Продам электронную книгу: TeXet TB-720HD, б/у в отличном состоянии.;"
500 грн.
";Краматорск
Электронная книга IBook eReader V8 на запчасти;"
350 грн.
";Киев, Святошинский
'эл книга PocketBook 650 Ultra;"
800 грн.
";Долинская
Електронна книга ONYX BOOX Note Air 2 • Нова • Запакована!;"
16 456 грн.
";Львов, Франковский
Pocketbook 515 электронная книга на запчасти;"
300 грн.
";Донецк, Ленинский
Электронная книга amazon kindle D01100. Побита;"
220 грн.
";Киев, Дарницкий
Продам на запчасти Pocketbook 611;"
300 грн.
";Киев, Шевченковский
Електронна книга Pocketbook IQ 701;"
800 грн.
";Ивано-Франковск
"Электронная книга Amazon Kindle Paperwhite 6.8""8GB 11 Gen.2021 новая";"
4 650 грн.
";Луцк
Электронная книга PocketBook 631;"
3 500 грн.
";Киев, Днепровский
Електронна книга Amazon Kindle 4!Wi-Fi!вміщає сотні книг.;"
1 000 грн.
";Умань
Электронная книга PocketBook 622 с чехлом;"
1 900 грн.
";Киев, Деснянский
Электронная книга ASUS Eee Reader DR-900W;"
200 грн.
";Ровно
Планшет Amazon Kindle Fire;"
499 грн.
";Одесса, Суворовский
Запчасти на електронною кныгу;"
70 грн.
";Полтава
Продам,электронная книга Nook bnrv 100.РОЗБОРКА продажу і БАТАРЕЯ;"
400 грн.
";Умань
Электронная книга (рабочая, в отличном состоянии);"
600 грн.
";Днепр, Соборный
Электронная книнаSony prs 600;"
1 500 грн.
";Киев, Шевченковский
Электронная книга Pocket book Basic 2;"
2 000 грн.
";Харьков, Шевченковский
Продам электронные записные книги;"
80 грн.
";Киев, Днепровский
Електронна книга AirBook City Base;"
2 200 грн.
";Киев, Голосеевский
Электронная книга Amazon Kindle Paperwhite 7th Gen. 2015 (Новая);"
3 250 грн.
";Одесса, Приморский
Электронная книга PocketBook 613 Basic;"
1 550 грн.
";Одесса, Приморский
Электронная книга Amazon Kindle Paperwhite 2013;"
1 800 грн.
";Киев, Шевченковский
Продам електронную книгу.;"
50 грн.
";Харьков, Московский
Amazon Kindle Paperwhite 8GB новая 10Gen Электронная книга онлайн;"
3 790 грн.
";Луцк
Электронные книги Pocketbook;"
150 грн.
";Обуховка
Электронная книга Texet;"
250 грн.
";Запорожье, Днепровский
Amazon Kindle All New 10пок 8Gb 2021 новая электронная книга подсветка;"
2 580 грн.
";Луцк
Электронная книга Amazon Kindle All New 10 пок 8 GB подсветка новая;"
2 590 грн.
";Луцк
Электронная книга и штрихсканер. (для заполнения эл. форм);"
500 грн.
";Киев, Днепровский
Tolino Vision 3 HD (типу Kobo, Amazon). ІДЕАЛ;"
1 890 грн.
";Бережаны
Kobo Aura H2O. Рідер;"
2 400 грн.
";Бережаны
Электронная книга Amazon Kindle Paperwhite ey21;"
1 800 грн.
";Киев, Голосеевский
Электронная книга Kiano Booky Light;"
2 000 грн.
";Киев, Оболонский
Електронна книга, рідер. PocketBook 840 InkPad 2 Ридер;"
4 900 грн.
";Фурсы
Amazon Kindle Paperwhite 2013;"
2 000 грн.
";Киев, Печерский
Електронна книга Pocketbook 628 Touch Lux5 Ink Black (PB628-P-CIS);"
4 264 грн.
";Львов, Сиховский
Pocketbook 631 Touch Hd wifi/подсветка;"
3 000 грн.
";Киев, Дарницкий
Електронна книга Microsoft Power Platform Fundamentals;"
820 грн.
";Самбор
"Amazon Kindle Paperwhite Kids 11th Gen 6.8"" 2022 с обложкой, ONLINE";"
5 450 грн.
";Днепр, Чечеловский
Amazon Kindle 2022. 8 гб. Новый. Запечатан.Офлайн.Гарантия.От магазина;"
2 199 грн.
";Львов, Шевченковский
Kindle 2022. 10 поколение. Новая. Черный. Белый. Гарантия. От Магазина;"
1 599 грн.
";Киев, Оболонский
Електронная книга kruger&matz;"
2 000 грн.
";Оршовцы
Электронная книга PocketBook 626 Подсветка Wi-Fi Fb2 Pdf Сенсор;"
2 550 грн.
";Киев, Деснянский
Продам электронную книгу Texet TB 770 hd б/у без сенсорного экра на;"
250 грн.
";Монастырище
Карманная электронная записная книжка;"
100 грн.
";Днепр, Соборный
Электронная книга Enot Starbook 7. С подсветкой! Отличное состояние!;"
900 грн.
";Киев, Святошинский
Электронный ридер PocketBook Pro 602;"
1 500 грн.
";Одесса, Киевский
Англо-русский ГОВОРЯЩИЙ электрон.словарь.;"
170 грн.
";Кропивницкий, Подольский
Электронная книга PocketBook 623;"
2 000 грн.
";Киев, Шевченковский
Электронная книга PocketBook 612 Pro Grey;"
2 000 грн.
";Киев, Соломенский
Электронная книга Sony PRS-600;"
1 000 грн.
";Киев, Голосеевский
Электронная книга;"
4 000 грн.
";Херсон
Електронна книга Elonex ebook, ereader;"
999 грн.
";Черновцы
"электронная книга Kobo Aura H2O 6,8"" книжка E-book kindle";"
2 000 грн.
";Киев, Святошинский
Pocketbook 606 ел.книга;"
1 550 грн.
";Рудки
Электронная книга PocketBook 614 Читает все форматы книг даже PDF;"
1 490 грн.
";Киев, Деснянский
Планшет Nomi C10105 16Гіг 10* 3G 2 SIM звонящий.;"
1 400 грн.
";Запорожье, Днепровский
"Электронная книга 6"" Sony PRS-T1 R, Электронная книга, Sony";"
1 600 грн.
";Киев, Голосеевский
Электронная книга Pocketbook surf pad по запчастям;"
300 грн.
";Первомайск
Электронное устройство для чтения книг e-BOOK REB1100;"
750 грн.
";Киев, Днепровский
Pocketbook 616 електронна книга;"
2 250 грн.
";Тернополь
электронная книга ViewSonic VEB620;"
300 грн.
";Кривой Рог, Метталургический
Kobo Libra. 7 дюймов. Новая. Легкая. Теплота подсветки. Гарантия;"
3 900 грн.
";Львов, Галицкий
Kindle Paperwhite 2020. 32гб. Новый. Запечатан. Гарантия. Из США;"
4 399 грн.
";Львов, Галицкий
Продаю электронную книгу на запчасти;"
300 грн.
";Киев, Деснянский
"Электронная книга 9,7"" Pocketbook Школьнику в помощь Большой экран";"
3 250 грн.
";Киев, Днепровский
Электронная книга PocketBook Pro 602 +microSD2Gb;"
300 грн.
";Черкассы
Электронная книга Amazon Kindle 10th Gen. 2019 White 8Gb #17142;"
2 400 грн.
";Херсон
Электронная книга Barnes & Noble Nook The Simple Touch Reader #13464;"
1 200 грн.
";Херсон
Електронний словник Seiko;"
100 грн.
";Броды
Электронная записная книжка Б/У;"
75 грн.
";Донецк, Будённовский
Книга Amazon Kindle Paperwhite 2012 EY21 2Gb 5th PW1 Подсветка;"
1 250 грн.
";Киев, Оболонский
"Электронная книга 6"" Pocketbook 614 Читает все форматы";"
1 450 грн.
";Киев, Деснянский
Электронная книга EvroMedia Е-Учебник школьнику. Все форматы книг;"
1 550 грн.
";Киев, Дарницкий
"Электронная книга 5"" Pocketbook mini 515 Читает все форматы";"
1 350 грн.
";Киев, Деснянский
Электронная книга Nook Simple Touch Wi-Fi Pdf Fb2;"
1 400 грн.
";Киев, Дарницкий
Электронная книга Amazonkindle(на запчасти).;"
150 грн.
";Киев, Дарницкий
Электронная книга Amazon Kindle Paperwhite  WP63;"
800 грн.
";Сумы
Медиаридер Mediareader Assistant AE-702;"
499 грн.
";Светловодск
Электронная книга Barnes & Noble NOOK Simple Touch BNRV300A;"
370 грн.
";Херсон
Електронна книга PocketBook 515 mini;"
1 000 грн.
";Тараща
Электронная книга Amazon Kindle Paperwhite 2021 Гарантия год от нас;"
5 440 грн.
";Киев, Голосеевский
Kindle Paperwhite 2017. 7 поколение. Черный. Гарантия. Магазин. Из США;"
1 299 грн.
";Киев, Оболонский
"• 6,8"" дюйм • 2021 11 gen Новая! эл.книга Amazon Kindle PaperWhite 8Gb";"
4 699 грн.
";Львов, Галицкий
Отправляем. Електронная книга Amazon Kindle Paperwhite 10th 8gb black;"
2 899 грн.
";Киев, Голосеевский
Электронная книга;"
20 грн.
";Новомайское
Электронная книга Престижио Libretto PER3162B.;"
190 грн.
";Киев, Дарницкий
Электронная записная книжка;"
60 грн.
";Запорожье, Шевченковский
Электронная книга QUMO Fresh!;"
100 грн.
";Светловодск
Электронная книга;"
2 000 грн.
";Бровары
Электронная книга Amazon Kindle 3;"
800 грн.
";Днепр, Индустриальный
Продам книгу электронную;"
200 грн.
";Одесса, Приморский
Электронная записная книжка, електронна записна книга Casio SF-5580RS;"
1 000 грн.
";Киев, Дарницкий
Електронна книга;"
220 грн.
";Чернигов
Електронна книга;"
140 грн.
";Ивано-Франковск
Pocketbook Touch HD 3;"
4 500 грн.
";Сумы
Продаю электроную книгу Qumo;"
1 000 грн.
";Киев, Оболонский
Электронные книги Марка Мэнсона;"
20 грн.
";Киев, Печерский
Записна книжка casio;"
150 грн.
";Тернополь
Электронная книга PocketBook;"
3 500 грн.
";Александрия
Говорит и показывает искусство. Электронная книга;"
40 грн.
";Хмельницкий
Assistant электронная книга под ремонт;"
200 грн.
";Запорожье, Александровский
Электронная книга Airbook Liber;"
250 грн.
";Киев, Деснянский
Електронна книга Е-підручник classic lite;"
600 грн.
";Белая Церковь
Электронная записная книжка;"
95 грн.
";Киев, Днепровский
Электронная книга Amazon Kindle;"
790 грн.
";Каменец-Подольский
Электронную книгу Pocketbook 626 с побитым экраном.;"
600 грн.
";Киев, Дарницкий
Продам не дорого электронную книгу Sony PRS 300;"
800 грн.
";Киев, Оболонский
Электронная книга Texet , побит угол экрана! С чехлом;"
250 грн.
";Киев, Дарницкий
Электронная книга Wexler Book T7004;"
420 грн.
";Киев, Шевченковский
PocketBook Basik 3;"
1 100 грн.
";Запорожье, Александровский
Электронная книга Amazon Kindle Voyage;"
1 900 грн.
";Черновцы
ЯК НОВА Amazon Kindle 10 2019 4GB Електронна книга з підсвіткою;"
2 000 грн.
";Ровно
Электронная книга ergo;"
300 грн.
";Переяславское
Pocketbook електронна книга;"
990 грн.
";Сокольники
Tolino Shine (підсвітка);"
900 грн.
";Сокольники
Kobo Aura 2 чохол;"
1 700 грн.
";Львов, Железнодорожный
Kobo Aura ONE, 8 дюймів супер-Підсвітка. НЕ Китай! Японія-Канада!;"
5 200 грн.
";Городок
Barnes and Noble Nook Glowlight BNRB500 з Підсвіткою!;"
1 600 грн.
";Городок
Электронная записная книжка CITIZEN RX-6600/ 64 кб.;"
100 грн.
";Луганск, Ленинский
